name	A11	A12	A13	A21	A22	A23	AD11	AD12	AD13	AD21	AD22	AD23	CK11	CK12	CK13	CK21	CK22	CK23	DA11	DA12	DA13	DA21	DA22	DA23	taxonomy
Pseudoalteromonadaceae	0.000798449	0.001545072	0.000696059	0.000215788	7.42E-05	6.11E-05	0.000357839	0.00046108	0.000603826	6.34E-05	8.85E-05	6.57E-05	0.000550825	0.000384331	0.000938628	0.000325913	0.000400304	0.000701369	0.000569181	0.000238435	0.000364089	0.000268635	0.000330963	0.000281405	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae
Psychromonadaceae	0.000180626	0.000230309	0.000188294	6.26E-05	2.10E-05	2.36E-05	1.59E-05	7.80E-06	1.33E-05	3.12E-05	7.84E-05	1.45E-05	1.18E-05	1.33E-05	1.22E-05	2.01E-05	1.38E-05	8.20E-06	1.12E-05	7.98E-06	2.22E-05	7.76E-06	2.56E-06	7.69E-06	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Psychromonadaceae
Shewanellaceae	0.000206136	0.000562087	0.00087834	0.0031395	0.000374101	0.001162486	0.001915026	0.000513069	0.000906709	0.002671111	0.002654748	0.001677161	0.001047405	0.000478108	0.00157655	0.001512947	0.001343567	0.001394534	0.000692989	0.000967579	0.000896878	0.00088276	0.000440601	0.000975574	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae
Cardiobacteriaceae	0	6.34E-06	6.29E-06	7.62E-06	5.24E-06	2.31E-05	0	0	0	0	1.71E-05	7.60E-06	0	0	0	1.00E-05	0	1.64E-05	0	2.24E-05	1.86E-05	0	6.15E-06	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae
Cellvibrionaceae	1.23E-05	1.37E-05	1.09E-05	1.18E-05	6.98E-06	4.81E-06	8.52E-05	2.05E-05	1.78E-05	0.000126392	1.07E-05	7.77E-06	2.91E-05	1.90E-05	6.85E-05	5.10E-05	2.84E-05	2.79E-05	0.000148458	0.000371491	0.000318263	3.24E-05	3.59E-05	8.08E-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae
Halieaceae	0.007212722	0.010675316	0.011176836	0.01788457	0.002435365	0.011169577	0.01000364	0.009904928	0.007940897	0.003099385	0.003977852	0.002321781	0.021838206	0.023224877	0.028323142	0.026988996	0.024866899	0.028422249	0.027746468	0.022618349	0.024745465	0.022121882	0.01030237	0.012521428	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Halieaceae
Microbulbiferaceae	1.47E-06	5.01E-06	2.19E-06	1.95E-05	8.73E-06	1.49E-05	6.55E-06	2.92E-06	2.26E-06	6.04E-06	6.71E-06	2.87E-06	1.78E-05	6.66E-06	6.09E-06	1.08E-05	1.24E-05	1.89E-05	5.04E-06	1.54E-05	2.01E-05	1.76E-05	1.23E-05	2.09E-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Microbulbiferaceae
Spongiibacteraceae	1.23E-05	8.68E-06	1.26E-05	6.73E-05	0.000107821	1.35E-05	1.45E-05	2.50E-05	1.03E-05	7.30E-05	0.000150367	2.36E-05	4.39E-05	3.18E-05	2.99E-05	0.000797792	0.00061938	0.000229688	3.31E-05	3.46E-05	3.12E-05	0.000526695	0.001183986	0.000475421	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Spongiibacteraceae
Chromatiaceae	0.000240444	0.000306077	0.000500933	0.000335529	0.000246636	0.000266824	0.000472982	0.000308036	0.000350724	0.000246239	0.000276638	9.09E-05	0.001435991	0.001112511	0.001287508	0.000935262	0.000794058	0.000933518	0.000870578	0.001294895	0.001536929	0.000596498	0.000255139	0.000501253	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae
Ectothiorhodospiraceae	4.11E-06	1.27E-05	3.77E-05	2.20E-05	1.75E-05	3.85E-05	1.41E-05	8.45E-06	1.26E-05	5.06E-05	0.000136946	2.45E-05	0.000255441	8.51E-05	2.74E-05	0.000132064	8.30E-05	0.000215743	4.31E-05	5.91E-05	8.06E-05	0.000142426	5.12E-05	0.000140153	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae
