k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Acetobacteraceae.g__Roseomonas	0			-
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Moraxellales	2.681620606			-
k__Bacteria.p__Chloroflexi.c__Dehalococcoidia.o__Dehalococcoidales.f__Dehalococcoidaceae.g__Dehalococcoides	0			-
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Roseimicrobium	0			-
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Eubacteriaceae.g__Eubacterium	0.404833792			-
k__Bacteria	5.968022633			-
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Roseobacteraceae.g__Maribius	0.552262628			-
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae.g__Thermobacillus	0			-
k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Micrococcales.f__Microbacteriaceae.g__Mycetocola	0			-
k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Micrococcales	3.351029741			-
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Plesiomonas	0.034762561			-
k__Bacteria.p__Kiritimatiellaeota.c__Tichowtungiia.o__Tichowtungiales.f__Tichowtungiaceae.g__Tichowtungia	0			-
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Nitrobacteraceae.g__Afipia	3.311740912			-
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Heliobacteriaceae.g__Heliomicrobium	0			-
k__Bacteria.p__Cyanobacteria.unclassified.o__Pleurocapsales	0			-
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Nitrosomonadales.f__Thiobacillaceae.g__Sulfuritortus	0.735066351			-
k__Bacteria.p__Bacteroidetes.c__Sphingobacteriia.o__Sphingobacteriales.f__Sphingobacteriaceae.g__Anseongella	0			-
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Pigmentiphaga	0			-
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Parvularculales	2.286120407			-
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Butyrivibrio	0			-
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfobacterales.f__Desulfobacteraceae.g__Desulfococcus	2.022620863			-
k__Bacteria.p__Planctomycetes.c__Phycisphaerae.o__Phycisphaerales.f__Phycisphaeraceae.g__Mucisphaera	0			-
k__Bacteria.p__Chlorobi.c__Chlorobia.o__Chlorobiales.f__Chlorobiaceae	0.89652625			-
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Roseobacteraceae.g__Ketogulonicigenium	1.166726295			-
k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Micrococcales.f__Kytococcaceae	0.939519254			-
k__Bacteria.p__Kiritimatiellaeota.c__Kiritimatiellae.o__Kiritimatiellales.f__Kiritimatiellaceae	1.182795019			-
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Acetobacteraceae.g__Roseococcus	0			-
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Pectobacteriaceae.g__Brenneria	0			-
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Desulfitobacteriaceae.g__Syntrophobotulus	0			-
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Methylocystaceae	0.345047008			-
k__Bacteria.p__Cyanobacteria.unclassified.o__Synechococcales.f__Prochlorococcaceae.g__Cyanobium	0.245512743			-
k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Pseudonocardiales.f__Pseudonocardiaceae.g__Lentzea	0			-
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Syntrophales.f__Syntrophaceae.g__Desulfomonile	0.939519254			-
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae.g__Aneurinibacillus	0			-
k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Amoebophilaceae	0			-
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Paraliobacillus	0			-
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__Eikenella	0			-
k__Bacteria.p__Chloroflexi.c__Anaerolineae.o__Anaerolineales.f__Anaerolineaceae.g__Anaerolinea	0			-
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Aeromonadales.f__Aeromonadaceae.g__Dongshaea	0			-
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Roseobacteraceae.g__Thalassobius	3.012833848	CK	2.653632978	0.027323722
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Formosa	2.823997369			-
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Roseobacteraceae.g__Yangia	2.70428568			-
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Urechidicola	3.814475771			-
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Roseobacteraceae.g__Oceanicola	2.180852238			-
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Immundisolibacterales.f__Immundisolibacteraceae	0.906694113			-
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae.g__Lysobacter	1.903117205			-
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Thermincolaceae.g__Thermincola	0			-
k__Bacteria.p__Planctomycetes.c__Candidatus_Brocadiia.o__Candidatus_Brocadiales.f__Candidatus_Brocadiaceae	0.507990838			-
k__Bacteria.p__Tenericutes.c__Mollicutes.o__Acholeplasmatales.f__Acholeplasmataceae	1.776313869			0.027323722
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Turicibacteraceae.g__Turicibacter	1.611723308			-
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Niallia	0			-
k__Bacteria.p__Spirochaetes.c__Spirochaetia.o__Spirochaetales.f__Spirochaetaceae.g__Spirochaeta	0			-
k__Bacteria.p__Cyanobacteria.unclassified.o__Pseudanabaenales.f__Leptolyngbyaceae.g__Leptothermofonsia	0			-
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Rickettsiaceae.g__Candidatus_Phycorickettsia	0			-
k__Bacteria.p__Balneolaeota.unclassified.unclassified.unclassified.g__Candidatus_Cyclonatronum	0			-
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Salinicoccus	0			-
k__Bacteria.p__Rhodothermaeota.c__Rhodothermia	2.292146847			-
k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Micrococcales.f__Cellulomonadaceae.g__Pseudactinotalea	0			-
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Syntrophobacterales.f__Syntrophobacteraceae.g__Syntrophobacter	0.395035052			0.033985607
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Xanthobacteraceae.g__Labrys	0			-
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Yersiniaceae.g__Serratia	1.893458525			-
k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Cytophagaceae.g__Spirosoma	0.0755472			-
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Orbales.f__Orbaceae.g__Gilliamella	0.713770373			-
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Leeuwenhoekiella	2.448313631			0.027323722
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Nitrosomonadales.f__Sulfuricellaceae.g__Sulfurimicrobium	1.10607761			0.027323722
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Novosphingobium	2.184880797			-
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Phyllobacteriaceae.g__Phyllobacterium	0.222716538			-
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Salegentibacter	2.875036049			-
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Nitrosomonadales.f__Sterolibacteriaceae.g__Methyloversatilis	0			-
k__Bacteria.p__candidate_division_NC10.unclassified.unclassified.unclassified.g__Candidatus_Methylomirabilis	0			-
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfobacterales.f__Desulfobulbaceae.g__Desulfobulbus	2.611329404			-
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Marinilabiliales.f__Marinilabiliaceae.g__Alkalitalea	0.128937677			-
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae.g__Marinilactibacillus	0			-
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.unclassified.unclassified.g__Candidatus_Accumulibacter	0.87157308			-
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae	0.553073716			-
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Christensenellaceae.g__Christensenella	0			-
