GeneFamily	AD12	AD22	AD32	CK12	CK22	CK32
K02017	9.967	11.282	6.28	3.361	1.943	0.968
K02018	113.471	54.032	50.273	8.141	32.341	29.575
K02019	0	0	0	0	0	0.688
K02020	0.187	0.817	1.111	0.382	1.748	0.712
K02022	1.166	0.394	1.613	0.889	0.301	0
K02024	0	0	0	0	0	1.132
K02025	20.106	15.993	10.766	20.545	74.864	93.711
K02026	47.08	29.213	26.714	38.153	154.728	162.371
K02027	18.62	13.179	8.76	13.86	58.877	86.396
K02028	173.224	133.626	154.449	22.9	95.949	103.214
K02029	685.461	478.226	576.832	78.442	248.822	289.458
K02030	363.166	292.048	353.613	47.217	132.089	139.359
K02031	351.285	421.128	615.938	109.126	213.916	244.231
K02032	437.843	542.808	749.796	155.662	311.091	293.853
K02033	951.945	959.083	1258.629	542.521	608.996	684.927
K02034	738.767	759.762	1027.743	434.593	469.767	506.38
K02035	583.782	662.995	888.766	176.488	318.88	342.89
K02036	291.633	289.994	257.779	335.112	242.664	277.561
K02037	111.086	152.449	148.629	249.259	144.888	133.863
K02038	181.505	195.637	202.727	55.395	121.484	136.481
K02039	207.852	176.988	210.049	29.433	82.141	117.201
K02040	258.242	266.077	306.16	67.601	165.744	168.12
K02041	179.499	158.106	206.688	53.794	134.559	144.845
K02042	215.073	231.917	354.603	301.521	147.4	163.973
K02043	17.199	28.275	58.78	7.241	6.074	16.18
K02044	93.729	120.164	182.423	318.463	102.079	82.03
K02045	15.579	38.564	67.988	13.127	13.332	9.627
K02046	16.335	47.221	77.284	11.803	6.214	20.884
K02047	22.406	45.996	80.35	12.279	12.599	8.696
K02048	18.459	42.862	80.575	18.052	7.747	12.484
K02049	135.429	124.974	157.166	41.883	134.181	128.655
K02050	200.423	235.187	308.918	56.871	135.854	198.015
K02051	164.539	168.959	221.38	40.089	95.258	96.438
K02052	157.363	145.197	159.63	37.754	97.71	120.344
K02053	158.317	203.817	294.965	61.456	117.725	141.765
K02054	39.388	51.895	83.162	15.951	48.793	43.595
K02055	166.946	132.87	142.473	30.979	99.144	133.782
K02056	300.851	252.481	284.131	75.866	181.701	248.896
K02057	471.137	379.354	451.225	102.97	284.761	372.417
K02058	171.494	148.665	152.285	46.742	107.555	149.762
K02062	17.932	11.858	10.75	3.656	14.041	8.094
K02063	57.102	22.345	21.426	4.328	12.373	19.35
K02064	117.363	61.627	59.974	12.774	33.372	52.598
K02065	236.799	248.352	214.516	110.081	293.241	316.189
K02066	229.713	243.091	202.952	93.367	219.671	277.514
K02067	99.677	99.557	141.482	34.573	62.459	74.221
K02069	0	1.142	0.226	0.264	13.221	12.909
K02071	39.066	24.823	25.017	4.323	4.788	4.865
K02072	16.513	13.012	9.792	3.967	0	5.727
K02073	20.466	15.98	17.241	0.472	5.265	10.011
K02077	0	0.307	0.166	0.194	2.812	0
K02078	800.09	946.339	825.149	717.167	992.881	918.947
K02079	0	0	0	0	0	1.493
K02080	0	0	0	0	0	2.416
K02081	0	0	0	0	0	1.985
K02083	21.048	49.171	102.481	16.67	16.519	12.97
K02099	0	0	0	0	1.939	21.475
K02100	0	0	0	0	0	0.347
K02106	2.474	4.39	0.221	3.704	11.117	0
K02108	303.643	251.628	269.366	298.314	194.128	156.332
K02109	382.666	284.491	370.045	65.633	157.813	150.855
K02110	414.166	399.823	297.935	129.946	307.744	311.127
K02111	622.564	694.37	518.998	593.205	923.022	1016.642
K02112	584.163	615.667	401.996	258.869	703.311	841.072
K02113	94.345	99.199	134.085	27.526	56.789	55.822
K02114	226.903	171.717	203.868	297.38	114.937	119.852
K02115	235.305	254.724	244.822	97.295	241.278	234.159
K02116	47.134	65.202	120.069	22.669	29.551	21.156
K02117	3.302	3.424	0	0	8.598	0
K02118	10.713	7.541	5.185	7.918	12.293	21.894
K02119	0	0	0	0	1.832	0
K02122	0	0	0	0	3.061	0
K02124	0	1.739	0.947	0	0	13.769
K02128	1.113	0	0	0	0	0
K02160	74.832	79.014	135.883	46.001	90.22	85.035
K02164	0	1.109	1.201	0.647	1.694	0
K02167	143.071	115.234	142.817	17.497	59.137	52.255
K02168	26.021	14.729	14.829	1.385	6.843	8.115
K02169	0	1.123	1.748	2.948	1.08	1.383
K02170	9.25	2.181	1.419	3.604	0	6.898
K02171	0	0	4.341	2.502	3.002	0
K02182	0.146	0	0	0	0.251	0.941
K02183	0.468	0	0	0	0	0
K02188	0	0	0	0	6.511	0.445
K02189	35.867	32.512	35.42	3.734	7.611	14.54
K02191	0	1.617	0	0	0	0
K02192	1.285	0	2.448	5.644	2.566	0
K02193	27.324	17.097	24.855	3.369	16.095	11.521
K02194	34.858	43.606	91.954	13.171	20.82	7.525
K02195	169.408	165.817	173.69	36.126	99.794	105.43
K02196	173.074	101.147	42.225	58.213	4.76	62.939
K02197	235.324	130.827	178.485	25.96	73.43	72.105
K02198	43.953	35.451	29.114	8.977	45.178	50.236
K02199	156.809	127.226	157.321	35.341	58.915	79.119
K02200	5.084	3.26	6.264	9.865	30.611	19.34
K02203	1.591	0	1.619	5.712	0	1.891
K02217	76.278	84.552	81.683	46.801	90.97	114.231
K02221	187.568	131.234	73.155	253.951	86.352	48.769
K02224	86.339	56.841	49.802	11.185	36.967	26
K02225	0	0	0.131	1.418	0.79	0.9
K02226	1.679	0	0.27	0	1.523	4.686
K02227	2.08	0	2.027	2.06	3.212	0.58
K02228	14.203	8.21	7.315	0	7.176	0
K02229	13.933	26.095	51.958	10.956	10.445	0
K02230	42.52	31.815	38.664	7.647	23.969	15.925
K02231	13.643	0	0	1.175	0	1.11
K02232	104.871	78.956	77.84	14.274	40.767	32.688
K02233	0	1.159	0.396	0.488	5.879	2.2
K02234	25.184	50.905	97.218	19.311	29.033	30.031
K02237	3.622	0	2.318	0	0	1.437
K02238	0.529	1.991	1.757	1.935	2.587	0.783
K02256	0	0	0	0	0	3.028
K02257	182.494	150.038	177.011	64.949	154.604	137.772
K02258	109.468	106.536	136.308	20.078	52.148	36.923
K02259	93.165	93.734	143.261	26.574	53.999	40.078
K02274	494.074	532.499	414.483	225.419	579.065	575.258
K02275	232.765	190.538	229.28	58.453	138.206	118.681
K02276	338.179	275.543	292.858	71.254	199.92	166.606
K02277	0	0	0	284.558	49.362	35.611
K02278	102.568	58.931	47.309	6.017	25.913	37.868
K02279	125.041	113.646	143.041	19.564	32.718	36.587
K02280	122.187	73.164	67.23	7.756	46.951	42.115
K02282	118.899	101.558	126.141	18.323	61.168	59.664
K02283	182.375	152.825	172.587	59.371	167.536	161.801
K02291	0	0	0	0	4.565	0
K02297	1.17	2.577	2.377	0.758	0	3.842
K02298	0.131	0	0	0	0	0.478
K02299	0.378	1.01	1.037	1.174	0	7.908
K02300	4.114	0	0.686	2.402	0	0
K02302	0	1.126	2.328	1.962	0.891	7.396
K02303	59.378	89.114	97.502	26.732	36.444	41.767
K02304	3.519	13.199	13.627	10.028	19.166	10.573
K02305	14.959	21.685	11.37	10.763	28.989	39.838
K02313	319.931	399.132	322.589	456.472	496.713	507.184
K02314	100.691	125.234	101.442	85.531	201.511	192.729
K02315	1.464	0.349	0.944	0.441	0	0.748
K02316	161.394	140.188	136.706	68.946	148.938	145.075
K02317	0	0	0	0	0	5.634
K02319	1.598	0	0	1.313	6.007	0
K02322	0	0	0	0.651	3.173	0
K02323	1.579	0	0	1.825	5.185	0
K02334	0	3.959	0.952	0.455	0	0
K02335	105.058	124.361	102.904	83.465	198.863	207.402
K02336	13.418	9.558	12.436	0	0	0
K02337	110.635	129.794	112.61	88.465	189.175	192.792
K02338	204.949	210.949	224.466	383.442	292.472	297.781
K02339	126.46	65.458	55.863	12.193	33.399	45.508
K02340	149.425	126.904	143.407	29.812	67.861	75.575
K02341	96.433	73.276	70.766	33.438	73.591	94.296
K02342	118.508	173.222	187.412	87.726	174.443	191.617
K02343	114.84	140.123	145.821	52.874	126.61	113.395
K02346	155.92	199.734	200.531	101.349	202.553	183.791
K02348	0	0	3.513	0	0	0
K02351	0	0	1.295	0.431	0	0
K02355	426.974	487.401	282.781	310.716	578.801	661.682
K02356	272.675	296.487	277.927	390.703	349.031	356.399
K02357	188.952	191.728	191.095	317.562	172.781	210.108
K02358	966.639	1056.015	710.869	986.279	1347.365	1549.36
K02361	0	0	0	0	0	0.429
K02363	0	0	0	0	0	0.603
K02371	29.759	48.723	41.685	42.354	109.04	95.117
K02372	210.064	177.244	226.973	38.258	99.289	80.153
K02377	6.454	2.44	13.181	10.529	4.924	11.87
K02379	178.654	116.95	165.599	29.74	72.628	73.129
K02380	0	0	0	0	0	1.128
K02381	0	0	0	0	0	1.45
K02386	16.451	39.286	85.275	7.814	9.393	8.3
K02387	22.447	12.257	13.839	291.753	27.56	23.77
K02388	207.939	172.476	199.488	307.45	88.313	118.212
K02389	41.746	25.951	28.573	2.773	5.38	10.284
K02390	38.66	55.996	91.496	13.696	8.832	9.784
K02391	154.241	135.394	165.746	21.377	56.887	61.087
K02392	187.652	139.911	177.166	281.915	92.49	82.76
K02393	149.297	114.248	154.149	20.031	58.864	48.113
K02394	122.162	108.264	132.735	268.586	75.682	76.364
K02395	8.656	9.244	8.642	2.873	0.863	4.295
K02396	21.947	40.552	80.097	11.504	9.657	8.614
K02397	41.348	56.652	106.091	12.343	15.697	11.03
K02398	0	1.025	0.638	0	5.855	0
K02399	0.723	1.128	1.852	2.474	4.494	0
K02400	137.141	123.303	149.898	19.824	45.687	42.68
K02401	49.087	59.326	108.872	11.349	23.397	12.493
K02402	0	1.881	0	0	0	0
K02403	2.614	3.548	0	0	0	0
K02404	9.915	9.528	8.635	0.89	0.621	0.756
K02405	28.712	29.828	16.312	17.443	54.795	48.851
K02406	101.005	136.983	207.093	291.839	104.88	85.094
K02407	0.469	0.554	0.7	0.467	0	0.703
K02408	20.859	58.422	85.351	18.766	33.996	33.693
K02409	136.505	108.387	138.571	267.585	62.648	53.968
K02410	56.276	73.954	111.912	292.26	40.468	74.708
K02411	47.569	71.835	114.25	12.446	17.074	11.407
K02412	156.388	124.863	152.861	211.953	81.309	75.028
K02413	28.854	17.392	18.416	2.025	6.792	2.987
K02414	0.417	0.98	0.968	1.154	1.048	1.301
K02415	174.256	137.128	195.33	272.16	77.723	97.537
K02416	28.94	23.489	24.607	24.575	31.44	20.586
K02417	49.348	76.446	36.526	296.618	113.315	122.048
K02418	0	0	0	1.492	2.404	0
K02419	130.17	124.984	143.471	290.586	127.617	109.669
K02420	196.961	144.621	198.515	35.413	57.94	60.28
K02421	85.882	96.632	121.979	17.658	26.461	14.74
K02422	72.973	40.538	38.294	227.442	27.102	14.64
K02424	0	0	0	0	0	2.027
K02425	0	0	0	0	0	2.186
K02426	141.84	192.279	190.476	56.454	136.878	167.678
K02427	222.352	163.852	189.464	319.993	132.376	153.914
K02428	223.759	203.405	219.935	83.006	200.209	173.239
K02429	11.416	32.595	26.217	18.767	32.932	31.813
K02431	10.312	22.584	18.024	16.975	29.642	51.269
K02433	158.541	165.418	203.173	50.517	126.157	148.807
K02434	74.859	95.135	102.073	52.004	135.183	182.017
K02435	165.285	138.948	147.642	32.276	108.097	104.991
K02437	239.618	276.894	287.001	130.536	256.24	240.734
K02438	0	0	0	0	0	1.69
K02439	19.248	11.619	16.022	3.553	0	2.434
K02440	14.905	12.141	13.075	1.73	4.24	1.891
K02441	1.156	2.042	1.48	1.216	0.688	2.13
K02444	141.657	141.534	202.44	21.48	41.507	53.431
K02445	0.656	1.937	1.68	1.603	0	0.364
K02446	28.036	22.913	18.99	3.047	0	3.133
K02448	17.782	23.26	15.615	11.139	34.827	27.409
K02450	0.13	1.685	0.668	1.572	0.939	2.167
K02451	0.457	0.436	0.944	1.039	2.361	3.583
K02452	1.864	1.574	2.797	2.752	7.644	0.867
K02453	19.906	11.179	14.355	2.781	1.554	0.725
K02454	35.805	34.457	24.529	13.6	20.37	28.169
K02455	7.868	7.256	11.014	248.702	24.521	17.029
K02456	35.894	34.343	31.614	4.805	18.604	0
K02457	1.247	4.055	2.266	2.972	0	0
K02458	0	0	1.764	3.702	2.662	1.924
K02459	0.419	0.991	1.72	0.62	1.762	0
K02460	0	0.279	0.151	1.192	0.851	0.518
K02461	1.298	2.853	3.219	2.667	2.185	1.574
K02462	0	0.697	1.533	1.556	5.638	4.196
K02463	0.329	0	0	0.434	2.573	1.222
K02464	0	0	0	0	0	2.499
K02467	0	0	0	0	0	2.156
K02469	157.764	204.885	137.57	153.24	294.648	310.807
K02470	136.261	205.107	115.89	145.919	272.396	289.505
K02472	6.067	14.186	10.571	5.229	16.211	25.527
K02473	16.824	56.052	31.107	52.836	54.623	49.656
K02474	26.389	42.339	49.562	32.637	81.267	71.152
K02475	0.733	1.313	1.641	1.649	2.017	1.638
K02476	1.486	1.293	2.084	1.991	1.435	0
K02477	44.158	67.739	68.095	47.101	114.829	127.074
K02478	2.339	1.746	2.857	1.954	0	1.993
K02479	15.351	33.899	75.42	12.949	12.399	10.659
K02480	197.663	220.997	215.36	29.516	93.352	40.364
K02481	0	0.583	1.619	1.84	10.192	11.001
K02482	17.943	38.175	74.292	12.278	9.299	6.989
K02483	105.018	102.663	69.777	38.148	107.745	108.092
K02484	0.511	1.038	1.763	0	0	1.547
K02485	5.069	8.793	0	0	0	7.523
K02487	0	0.041	0.612	0	0	0
K02488	0	0	0.1	0	0	0
K02492	38.155	52.176	53.1	39.604	87.035	89.315
K02493	69.664	71.415	98.284	11.588	31.205	33.739
K02494	0	0	0.496	1.405	0.757	1.855
K02495	121.366	152.12	230.977	52.557	61.005	68.089
K02496	11.199	6.184	6.337	1.874	1.644	1.001
K02498	23.977	48.536	81.468	16.401	12.522	12.511
K02500	224.194	245.454	156.568	88.074	272.112	335.358
K02501	56.157	40.914	58.546	13.724	13.51	19.71
K02502	119.082	111.028	123.985	17.603	40.324	37.823
K02503	104.122	109.145	163.221	148.187	60.755	56.949
K02504	0	0	0	0	0	1.425
K02507	0	0	0	0	0	0.913
K02509	103.349	87.672	108.819	16.974	47.49	52.774
K02510	20.318	21.471	43.94	9.737	11.403	16.63
K02517	46.729	63.333	99.777	19.189	15.307	16.689
K02518	635.109	766.799	556.039	482.921	1069.791	1133.013
K02519	100.508	164.247	184.224	99.92	203.493	188.297
K02520	241.217	279.215	316.578	441.088	353.357	371.176
K02521	1.654	2.227	2.574	1.015	0.448	2.767
K02523	239.925	260.865	250.837	109.75	271.604	254.288
K02525	0	0	0	0	0	0.508
K02526	0	0	0	0	0	1.055
K02527	25.56	28.09	36.276	5.15	8.723	7.454
K02528	67.791	61.782	79.043	55.358	90.052	61.893
K02529	28.766	63.515	108.826	43.949	75.03	32.387
K02532	0	0	0	0	0	2.49
K02533	150.763	116.768	126.138	19.478	76.576	65.805
K02535	203.226	168.908	170.135	298.163	89.862	83.327
K02536	179.082	156.244	151.746	86.766	156.718	161.416
K02538	0	0	0	0	0	0.941
K02548	0.261	2.227	1.834	1.989	5.68	0.564
K02549	0.7	1.066	2.681	0.349	8.261	8.878
K02550	0	0	0	0	0	0.574
K02551	0	0	0.567	0.476	0	1.154
K02552	12.734	9.48	11.404	0.773	0.308	1.152
K02553	25.92	20.266	20.346	2.684	0	0
K02554	0	0	0	0	0	1.333
K02556	198.287	176.741	201.967	31.899	93.281	101.784
K02557	114.321	157.235	176.645	64.938	135.528	150.06
K02558	68.46	103.953	89.935	73.107	130.323	129.326
K02560	0.254	0	0	0.379	0	2.695
K02563	101.126	87.7	70.848	35.069	80.178	93.428
K02564	78.032	70.381	62.395	15.017	37.206	33.755
K02565	6.105	5.53	8.836	0.702	0	1.233
K02566	1.744	0	1.437	2.249	4.518	11.669
K02567	54.696	73.23	38.116	23.542	54.613	57.887
K02568	139.214	89.241	92.428	3.703	33.477	27.754
K02569	178.186	108.961	82.037	6.151	54.621	50.285
K02570	3.842	2.671	4.975	0.954	0	4.137
K02571	25.928	12.291	24.986	2.396	0	3.927
K02572	0	0	0.391	1.369	2.186	1.273
K02573	0	8.636	0	0	0	12.514
K02574	0	2.548	0	0	0	0
K02575	9.208	7.17	9.083	14.756	27.757	32.006
K02584	0	0	0	247.983	33.576	14.154
K02585	0	1.242	0	0	0	0.35
K02586	7.593	14.398	1.867	0.694	7.172	21.25
K02587	2.947	8.094	2.768	1.832	2.239	8.835
K02588	11.933	27.415	8.597	4.674	6.073	22.507
K02589	2.272	5.024	0.433	0	9.495	11.3
K02590	0	0	0	0	0	9.548
K02591	2.66	8.265	0	0	0	11.769
K02600	311.17	387.442	313.656	456.12	617.182	605.512
K02601	332.171	422.427	315.298	437.236	442.249	447.127
K02609	179.56	168.216	161.731	103.787	243.596	228.458
K02610	201.553	167.9	171.749	106.864	171.81	175.086
K02611	148.051	115.397	120.986	46.773	102.451	85.684
K02612	90.133	95.611	87.639	57.121	60.848	73.726
K02613	156.9	142.87	160.322	44.852	98.468	89.613
K02614	143.346	113.461	131.502	38.807	90.144	52.357
K02616	0.307	1.09	1.377	0	0	1.099
K02617	7.186	18.617	12.789	33.208	56.521	45.944
K02618	17.031	23.971	25.608	41.312	72.715	50.331
K02619	3.827	8.583	18.765	2.375	1.62	2
K02621	86.411	122.067	94.133	81.91	171.265	164.015
K02622	140.464	183.156	135.089	135.555	307.531	285.051
K02624	1.908	0	2.918	1.283	3.168	0
K02626	0	0	0	0	2.888	0
K02634	0	0	0	0	0	5.345
K02635	0	0	0	0	0	12.151
K02636	2.601	1.026	0	0	0	0
K02637	0	0	0	0	0	2.101
K02639	0	1.485	0	0	3.325	0
K02647	0.2	0	0.128	0.15	0	0.437
K02651	0	0	0	0.972	0	0
K02652	22.96	28.032	4.375	5.102	44.075	44.027
K02653	1.554	10.276	4.228	2.453	15.743	19.294
K02654	1.166	0.949	3.522	2.274	2.466	1.272
K02655	0.821	0.764	0.907	0.949	2.826	0
K02656	0.192	1.75	0.984	1.725	3.222	0.667
K02657	43.212	71.659	25.823	28.497	45.995	60.59
K02658	0	3.705	5.777	1.38	0	0
K02659	0	0	0.321	5.349	3.631	0
K02660	0	0	2.88	3.167	2.143	1.203
K02661	0	0	1.208	0	0	0
K02662	0.215	3.866	4.017	2.922	3.242	0
K02663	0	0.508	3.174	3.147	0.872	0
K02664	1.429	1.001	5.855	1.591	0.781	0
K02665	0	2.243	0.755	2.543	5.157	0
K02666	0.234	7.003	2.322	3.286	0	0
K02667	0.158	0	0	0.832	0.29	0
K02668	0.401	0.158	1.357	0.6	1.69	1.471
K02669	147.84	191.224	75.047	73.858	204.16	231.948
K02670	15.745	30.406	15.979	5.493	23.374	22.404
K02671	0	1.155	0.399	0.73	3.605	0
K02672	0.688	0	0.31	0.456	1.469	0.408
K02673	0.483	1.141	0	2.067	0	1.626
K02676	4.001	16.996	8.664	10.453	11.366	11.763
K02680	0	2.417	1.046	0	0	0
K02682	0	0	0	0	0	1.557
K02683	0	0	0	0	4.729	0
K02686	22.837	21.163	20.311	1.145	0	0
K02687	156.15	151.697	159.346	29.941	54.842	55.805
K02688	0	0	0	0	0	0.306
K02689	0	0	0	0	0	7.078
K02690	0	0	0	0	0	7.599
K02691	0.505	1.997	1.608	0	0.765	3.145
K02703	0.221	0	0.352	0	0	4.664
K02704	0	0	0	0	0	7.275
K02705	0	0	0	0	0	3.743
K02706	1.517	0.463	0	0	0	6.125
K02707	0	0	0.072	0	0	3.922
K02709	0	0	0	0	0	3.287
K02712	0	0	0	0	0	1.955
K02724	0	0	0	0	0	1.569
K02742	0	0	0	0.851	0	1.435
K02745	2.668	0	1.321	0	0	5.422
K02747	0	0.708	0.558	0	0	0
K02750	44.591	27.868	32.801	1.267	3.446	0.598
K02752	0	0	0	0	0	0.337
K02753	0	0	0	0	0	1.018
K02755	0	0	0	0	0	1.019
K02756	0	0	0	0	0	1.019
K02757	0	0	0	0	0	1.019
K02759	1.205	0.788	0.339	0	0	4.568
K02760	1.623	0	0	2.249	0	0.994
K02761	0	0	0	0	0	5.282
K02768	3.247	0.811	6.319	1.538	10.26	11.674
K02769	2.905	1.743	2.269	0	0	0.853
K02770	20.407	14.609	15.766	0.186	0.227	0.853
K02775	0	0	0	0	0	2.19
K02777	10.017	7.984	6.613	1.213	0	0
K02778	3.97	2.655	3.835	0.467	0	0.686
K02779	59.34	37.443	41.126	1.112	4.987	0.686
K02781	0	0	0	0	0	7.894
K02783	0	0	0	0	0.839	0
K02784	59.352	36.34	41.778	6.898	3.691	0
K02790	0	0	0	0	0	1.927
K02791	0	0	0	0	0	2.866
K02793	27.259	50.227	107.962	21.041	21.795	20.112
K02794	0	0	0	0	0	1.065
K02795	0	0	0	0	0	0.675
K02796	0	0	0	0	0	1.253
K02798	0	0	0	0	0	1.493
K02803	0.143	0.677	0.77	0.436	0	0
K02804	6.602	3.929	5.004	0.436	0	0
K02805	0	0	0	0	0	1.346
K02806	135.535	104.826	138.094	23.171	75.978	86.013
K02809	0	1.683	0	0.903	0	0
K02810	0	1.683	0	0.903	0	0
K02815	0	0	0	0	0	1.955
K02818	16.814	11.644	12.063	1.022	3.304	0.356
K02819	35.903	26.887	27.583	2.308	5.444	0.356
K02821	0	0	2.981	0	0	4.292
K02822	0	2.251	2.12	0	0	0
K02824	11.128	8.782	8.248	1.464	1.632	6.242
K02825	42.103	93.647	69.114	69.245	138.456	160.214
K02834	178.989	180.196	224.842	38.955	102.23	117.599
K02835	200.043	225.496	164.388	371.505	305.639	340.016
K02836	268.815	318.658	243.552	394.847	389.712	386.096
K02837	185.996	271.581	241.577	413.461	373.292	426.281
K02838	222.907	192.468	211.08	61.245	129.136	166.904
K02840	0	0	0	0	0	0.473
K02843	1.763	1.158	3.132	4.734	4.021	3.874
K02844	0	0	0	0	0	0.903
K02846	0	0	0	0	0	0.908
K02847	0	0	0.338	1.184	0.611	1.219
K02848	0	0	0	0	0	0.679
K02849	0	0	0	0	0	3.025
K02850	0.648	0	0	1.451	0.584	1.423
K02851	0.372	2.853	0.281	0.489	0	1.331
K02852	0	0	0	0.522	0	4.457
K02853	0	0	0	0	0	1.83
K02854	0	0	0	0	0	2.516
K02855	0	0	0	0	0	1.921
K02858	21.922	15.674	14.347	1.84	8.312	0.872
K02860	49.092	74.742	114.669	36.1	46.558	55.166
K02863	302.775	297.104	272.011	364.16	344.216	310.747
K02864	337.273	320.248	336.436	450.557	399.961	322.022
K02866	0	3.089	0	2.187	12.467	0
K02867	469.761	526.444	370.275	210.063	532.531	627.761
K02869	0	0	0	0	7.264	0
K02871	355.372	409.066	346.203	420.491	363.439	371.439
K02874	662.027	758.778	558.878	420.37	1057.411	1068.52
K02876	232.473	246.785	230.693	343.581	179.911	185.863
K02877	0	1.171	0	3.451	8.052	0
K02878	403.065	534.192	416.596	313.614	697.361	816.305
K02879	326.493	325.576	297.193	420.234	373.958	348.991
K02881	283.04	209.293	210.378	386.443	223.367	191.356
K02883	0	0	0.705	0	6.635	0
K02884	250.099	277.222	206.515	403.52	383.832	482.525
K02885	1.957	0	0	3.638	8.815	0
K02886	176.544	192.675	133.045	369.433	292.107	299.607
K02887	276.258	271.745	286.837	192.789	479.597	357.752
K02888	92.383	136.639	142.005	311.591	101.895	156.132
K02889	4.069	0	0	0	2.185	0
K02890	436.195	408.802	391.966	173.085	392.221	430.229
K02892	192.024	177.607	137.635	391.196	199.1	182.777
K02895	319.267	288.158	294.492	419.478	217.845	235.657
K02897	79.278	103.565	160.831	44.15	84.152	62.588
K02899	354.374	372.861	349.104	113.106	332.933	401.4
K02902	424.895	396.42	326.855	156.528	297.373	311.664
K02904	212.884	199.57	246.512	54.586	101.468	122.962
K02906	204.388	254.282	241.027	459.517	461.111	360.781
K02907	246.983	271.758	257.42	86.749	87.731	134.02
K02909	279.685	281.936	339.791	113.898	230.501	263.222
K02910	1.46	0	0	0	0	0
K02911	342.422	447.36	354.828	479.946	358.348	355.419
K02912	1.134	0	0	0	6.137	3.734
K02913	724.422	911.209	745.423	892.665	1011.865	770.713
K02914	21.457	41.868	21.054	1495.827	259.053	332.541
K02916	406.642	360.101	326.676	486.818	384.235	252.32
K02919	6.521	16.734	6.78	3.635	20.083	24.476
K02921	1.237	2.478	0	0.93	0	0
K02924	0	2.193	1.187	0	3.35	0
K02926	181.838	197.37	199.401	331.236	228.813	238.773
K02927	0	2.024	0	0	3.092	0
K02929	0	0	0	0	1.594	0
K02931	426.74	415.438	369.122	443.106	448.615	512.724
K02933	254.128	253.985	265.167	92.648	235.098	242.731
K02935	72.631	75.355	62.126	319.159	204.57	239.6
K02936	0	0	0	0	5.233	0
K02939	122.412	115.108	182.606	42.521	93.054	96.523
K02945	257.075	285.928	187.587	403.33	489.078	570.856
K02946	848.424	1014.392	687.811	841.975	1475.355	1492.155
K02948	516.421	623.237	475.165	541.947	773.13	828.183
K02950	946.121	1121.104	718.915	904.224	1489.468	1598.228
K02952	396.374	500.749	350.816	135.898	400.223	512.219
K02954	408.631	316.023	295.339	424.611	326.046	351.981
K02956	375.235	450.371	376.925	181.623	366.947	392.131
K02959	341.57	268.612	270.895	408.091	275.703	300.282
K02961	220.103	301.754	223.418	578.476	460.536	386.611
K02962	0	0	0	0	6.858	0
K02963	415.263	492.678	409.328	291.332	793.592	722.142
K02965	545.597	637.018	467.399	610.391	900.173	1045.785
K02966	0	0	0	4.1	0	0
K02967	243.787	276.082	268.335	431.325	412.498	418.232
K02968	328.804	260.693	246.738	68.066	190.731	99.384
K02970	508.601	431.999	427.737	477.117	342.279	453.293
K02976	0	0.681	0	1.305	10.576	0
K02978	0	0	0	1.018	9.86	0
K02979	0.648	0	0.406	0.949	9.007	0
K02982	516.749	560.609	443.901	255.99	657.599	648.226
K02986	245.097	292.144	227.208	420.086	423.896	452.737
K02988	460.045	468.791	411.543	484.174	573.234	579.057
K02990	326.48	391.931	352.968	204.349	427.578	431.439
K02992	474.445	592.299	451.058	560.728	657.868	654.747
K02994	305.913	301.274	298.648	451.616	463.331	380.169
K02996	277.718	273.277	248.978	382.311	240.298	247.03
K03040	468.158	523.644	451.545	566.254	784.049	823.925
K03041	0	0	0	2.361	6.093	0
K03043	301.069	431.74	234.974	267.507	711.602	779.493
K03046	209.073	290.932	158.854	178.648	486.742	567.819
K03047	0	0	0	0.661	0	0
K03049	0	0	0.697	1.006	4.64	0
K03050	0	0	0	0	13.107	3.193
K03053	0	1.172	0	2.235	3.591	2.192
K03056	3.508	1.039	0.565	1.275	5.48	1.916
K03058	0	0	0	1.799	2.266	3.216
K03060	288.075	202.915	259.648	441.661	199.059	211.493
K03063	1.012	0	0	0	0	0
K03070	118.235	143.376	107.567	82.145	213.143	245.057
K03071	194.633	146.51	140.584	21.887	55.952	74.947
K03072	154.837	133.608	145.796	270.503	99.7	105.606
K03073	77.297	100.799	189.646	366.021	149.766	92.986
K03074	84.963	101.07	135.378	22.451	45.881	52.021
K03075	178.075	72.807	112.43	14.863	47.612	24.208
K03076	381.244	383.587	334.492	398.939	387.134	388.569
K03077	3.925	5.758	7.161	4.889	11.009	4.781
K03078	0	0	0.248	0	0	1.755
K03079	0	0	0.356	0	0	3.744
K03086	403.955	543.927	315.079	597.731	984.409	1017.426
K03087	36.321	39.222	25.286	12.871	9.219	17.588
K03088	568.51	880.987	888.194	500.771	1050.88	1110.678
K03089	364.79	300.274	349.398	76.084	203.556	251.549
K03091	0.998	0	0	0	0	0
K03092	51.936	78.459	71.315	274.024	130.171	108.117
K03098	0	3.859	5.764	3.373	2.902	3.515
K03100	161.195	172.924	182.919	41.289	77.189	85.777
K03101	57.789	55.902	61.344	262.294	76.45	64.249
K03106	284.702	337.856	275.238	393.135	406.959	426.062
K03110	101.566	138.59	116.583	104.272	240.211	220.166
K03111	196.847	277.802	196.954	448.675	447.655	404.467
K03112	1.458	3.305	1.01	1.09	2.585	1.79
K03113	17.95	37.068	39.638	36.615	79.137	46.265
K03116	23.058	115.449	130.111	36.72	44.739	63.996
