GeneFamily	AD12	AD22	AD32	CK12	CK22	CK32
K11915	12.686	7.323	5.686	0	3.162	7.391
K11921	0	0	0	0	0	0.531
K11922	1.058	0.832	1.129	0	0	0.768
K11924	0	0	0	0	0	1.381
K11925	0	0	0	0	0	1.462
K11926	0	0	2.51	0	0	3.476
K11927	82.709	124.902	127.81	102.142	147.009	167.713
K11928	10.132	10.068	11.25	0.748	0.514	1.543
K11929	0	0	0	0	0	0.971
K11930	33.141	46.138	77.835	11.691	18.657	5.279
K11934	0	0	0	0	0	4.637
K11936	0	0	1.181	0	0	0.374
K11937	0	0	0	0	0	1.663
K11939	0	0	0	0	0	0.596
K11940	124.674	92.164	138.81	24.431	65.992	73.363
K11941	0	0	0	0	0	3.93
K11942	77.102	135.766	77.11	325.803	230.539	212.254
K11959	74.272	62.708	33.455	30.872	77.366	88.705
K11960	13.695	18.869	10.79	2.418	10.161	4.061
K11961	37.757	45.973	11.976	11.552	17.118	41.034
K11962	9.521	8.583	5.693	10.445	21.908	28.117
K11963	6.273	14.198	2.603	8.699	8.03	6.322
K11991	87.695	102.137	72.837	50.307	115.82	137.627
K11996	1.122	0	0	0	0	0
K12056	0	0	0	1.693	15.549	9.468
K12057	0	0	0	2.553	10.921	12.882
K12058	0	0	0	1.344	12.761	9.745
K12059	0	0	0	0	9.751	0
K12060	0	0	0	0	8.226	5.895
K12061	0	0	0	0	26.6	9.847
K12062	0	0	0	2.3	7.133	1.851
K12063	1.764	0	0	5.283	16.976	11.779
K12064	0	0	0	0	2.227	0
K12065	0	0	0	0	7.333	6.727
K12066	1.99	4.222	2.665	2.938	9.241	9.63
K12067	0	0	0	0.847	0	1.054
K12068	0	0	0.543	0	10.621	7.428
K12071	0	0	0	0	0	0.228
K12072	1.302	0	1.018	2.485	18.789	8.581
K12113	0	0	0	0	0	1.055
K12132	0.767	4.661	2.459	1.471	0.78	1.545
K12136	0	0	0	0	0	7.016
K12137	0	0	0	0	0	1.414
K12138	0	0	0	0	0	0.551
K12139	0	0	0	0	0	0.683
K12140	0	0	0	0	0	2.633
K12141	0	2.705	0	0	0	0
K12142	0	0	0	0	0	1.74
K12143	0	0	0	0	0	2.22
K12144	0	0	0	0	0	1.444
K12147	0	0	0	0	0	3.899
K12158	0.27	0.058	0.12	0.212	0.53	0.521
K12218	0	0	0	0	0	0.416
K12234	1.327	0	0	0	4.106	3.745
K12248	0	0	0	0.157	0	0
K12251	42.883	31.95	28.323	11.168	28.665	16.158
K12252	32.798	18.929	16.464	2.057	12.045	17.608
K12255	142.847	118.722	142.257	22.372	40.939	60.938
K12256	116.255	101.872	132.461	17.904	54.353	51.327
K12257	19.993	33.143	33.968	25.576	51.882	52.478
K12262	0	0.999	0.977	2.822	0.904	2.307
K12264	37.045	23.68	28.393	1.646	1.531	0.405
K12265	0	0	0.381	0	0	0.447
K12266	34.027	22.676	24.056	1.035	0	2.257
K12267	0.589	0.696	4.851	2.446	8.64	1.686
K12276	0.128	0.592	4.085	1.029	0.669	0.544
K12278	0.187	0	5.093	1.113	3.016	0
K12279	0	0	0.723	1.522	4.565	1.236
K12280	0	0	0.492	0	0.676	0
K12282	0.267	0	0.259	2.816	1.235	0.601
K12283	0.29	0.343	2.362	2.147	0.524	3.188
K12284	0.199	0	0.24	0.596	3.563	0.873
K12286	0	0	0	0.893	0	0
K12287	0	0	0	0.048	0.116	0
K12288	0	0	0	0	0	2.085
K12297	22.758	15.461	16.4	1.557	2.678	0.219
K12299	0	0	0	0	0	1.504
K12308	0	0	0	0	0.204	0
K12339	13.591	26.962	7.808	9.041	8.47	23.594
K12340	30.427	52.814	85.119	26.914	22.591	20.007
K12368	7.694	5.668	4.183	6.438	15.302	24.539
