Taxonomy	CK_Day10	CK_Day25	AOM_Day10	AD_Day10	AOM_Day25	AD_Day25
OTU290	1	1	1	1	1	1
OTU291	1	1	1	0	1	1
OTU292	1	1	1	1	1	1
OTU293	1	0	1	1	1	1
OTU294	1	1	1	1	1	1
OTU295	1	1	1	1	1	1
OTU296	0	0	0	0	0	1
OTU297	1	1	1	1	1	1
OTU298	1	0	0	1	0	1
OTU299	1	1	1	1	1	1
OTU300	1	1	1	1	1	1
OTU301	0	0	0	0	0	1
OTU302	1	1	1	1	1	1
OTU303	1	1	1	1	1	1
OTU304	1	1	1	1	1	1
OTU305	1	1	1	1	0	1
OTU306	1	1	1	1	1	1
OTU307	0	0	0	0	1	0
OTU308	0	0	0	0	1	0
OTU309	1	1	1	1	1	1
OTU310	1	0	1	0	0	0
OTU311	0	0	0	0	0	0
OTU312	1	1	1	1	1	1
OTU313	1	0	0	1	0	0
OTU314	1	1	1	1	1	1
OTU315	1	1	1	1	1	1
OTU316	1	1	1	1	1	1
OTU317	1	1	1	0	1	1
OTU318	1	0	0	0	0	0
OTU319	0	0	0	0	1	0
OTU320	1	0	0	1	0	1
OTU321	1	0	0	0	0	0
OTU322	1	0	0	0	0	1
OTU323	1	1	0	0	0	0
OTU324	1	1	1	1	1	1
OTU325	1	1	1	1	1	0
OTU326	0	0	1	0	0	0
OTU327	0	1	1	1	1	1
OTU328	0	0	1	0	0	1
OTU329	0	0	0	1	1	1
OTU330	0	1	0	1	1	0
OTU331	1	1	1	1	1	1
OTU332	1	0	0	0	1	1
OTU333	0	0	0	0	0	1
OTU334	1	1	1	0	0	1
OTU335	0	1	0	0	1	1
OTU336	1	1	1	1	1	1
OTU337	0	0	0	0	1	0
OTU338	1	1	1	1	1	1
OTU339	1	1	1	1	1	1
OTU340	1	1	1	1	1	1
OTU341	0	1	1	1	1	1
OTU342	0	0	1	0	0	1
OTU343	0	0	0	0	0	1
OTU344	1	1	1	1	1	1
OTU345	1	0	0	0	0	0
OTU346	1	1	1	1	1	1
OTU347	1	1	0	0	0	1
OTU348	0	0	0	0	0	1
OTU349	1	1	1	1	1	1
OTU350	1	1	1	1	1	1
OTU351	0	0	0	0	1	0
OTU352	0	0	0	0	1	1
OTU353	0	0	0	0	0	0
OTU354	1	0	0	0	0	0
OTU355	1	1	1	1	1	1
OTU356	1	1	1	0	1	1
OTU357	1	1	1	1	1	1
OTU358	1	1	1	1	1	1
OTU359	1	1	1	1	1	1
OTU360	1	1	1	1	1	1
OTU361	1	1	1	1	1	1
OTU362	0	0	1	1	0	1
OTU363	1	1	1	0	1	1
OTU364	1	1	0	1	1	1
OTU365	1	1	0	0	1	1
OTU366	1	1	1	1	1	1
OTU367	1	1	1	1	1	1
OTU368	0	1	1	1	1	1
OTU369	1	1	1	1	1	1
OTU370	1	1	0	1	0	0
OTU371	1	0	0	0	1	1
OTU372	1	1	1	1	1	1
OTU373	1	1	0	0	1	1
OTU374	1	1	1	1	1	1
OTU375	1	1	1	1	1	1
OTU376	1	0	0	1	1	1
OTU377	0	0	1	0	1	1
OTU378	0	0	0	0	1	0
OTU379	1	1	1	1	1	1
OTU380	1	1	1	1	1	1
OTU381	1	0	0	0	0	1
OTU382	1	0	0	0	0	0
OTU383	1	1	1	1	1	1
OTU384	1	0	0	0	0	0
OTU385	1	1	0	0	1	1
OTU386	1	1	0	1	1	1
OTU387	1	1	0	0	1	0
OTU388	1	0	1	0	0	1
OTU389	1	1	1	1	1	1
OTU390	0	1	0	0	1	0
OTU391	1	0	0	0	1	1
OTU392	1	1	1	1	1	1
OTU393	1	1	1	1	1	1
OTU394	1	1	0	0	1	1
OTU395	0	0	0	1	1	1
OTU396	0	1	0	0	1	0
OTU397	1	1	1	1	1	1
OTU398	0	0	0	0	1	1
OTU399	1	1	1	1	1	1
OTU400	1	1	0	0	1	1
OTU401	1	0	0	0	0	1
OTU402	1	1	1	1	1	1
OTU403	1	1	1	1	1	1
OTU404	0	1	1	1	1	1
OTU405	0	1	1	1	1	1
OTU406	1	1	1	1	0	1
OTU407	1	0	0	0	1	1
OTU408	0	1	1	0	0	0
OTU409	1	1	1	1	1	0
OTU410	0	1	0	1	0	0
OTU411	1	1	1	1	1	1
OTU412	1	1	1	0	1	1
OTU413	1	1	0	0	0	0
OTU414	1	1	1	1	1	1
OTU415	1	1	1	1	1	1
OTU416	1	1	1	1	0	1
OTU417	1	1	1	1	1	1
OTU418	0	0	1	0	1	1
OTU419	1	1	1	1	1	0
OTU420	0	0	0	0	0	0
OTU421	1	1	1	1	1	1
OTU422	1	0	0	0	0	0
OTU423	1	1	0	1	0	0
OTU424	1	1	0	0	1	1
OTU425	0	0	0	0	1	0
OTU426	0	0	0	0	0	1
OTU427	0	0	0	1	0	1
OTU428	1	0	0	0	0	0
OTU429	0	0	0	1	0	0
OTU430	0	0	1	1	0	0
OTU431	0	0	0	0	0	1
OTU432	0	0	0	0	1	1
OTU433	1	1	1	1	1	1
OTU434	1	1	1	1	1	1
OTU435	1	1	0	0	0	0
OTU436	0	0	1	0	0	0
OTU437	0	0	0	0	0	1
OTU438	0	0	1	0	0	1
OTU439	1	1	1	0	1	1
OTU440	1	1	1	1	1	1
OTU441	0	1	0	0	1	0
OTU442	1	1	0	1	0	0
OTU443	1	0	0	0	1	1
OTU444	0	1	0	1	0	0
OTU445	1	1	1	1	1	1
OTU446	0	0	0	0	0	1
OTU447	1	0	0	0	1	0
OTU448	1	1	1	1	1	1
OTU449	1	1	0	0	0	1
OTU450	0	1	0	0	0	1
OTU451	0	1	0	0	0	1
OTU452	1	1	0	0	0	0
OTU453	0	1	0	0	1	0
OTU454	1	0	1	1	0	0
OTU455	0	1	0	0	0	0
OTU456	1	1	0	1	0	0
OTU457	1	1	1	1	1	1
OTU458	1	1	0	0	1	1
OTU459	1	0	0	0	0	1
OTU460	0	0	0	0	0	1
OTU461	0	0	0	1	1	1
OTU462	0	1	0	1	1	1
OTU463	0	0	0	0	0	1
OTU464	1	1	1	1	1	1
OTU465	1	1	1	1	1	1
OTU466	1	1	1	1	1	1
OTU467	0	0	0	0	0	1
OTU468	0	1	0	1	1	0
OTU469	1	0	1	0	0	0
OTU470	1	0	0	0	0	0
OTU471	0	1	0	1	0	0
OTU472	1	1	0	0	0	1
OTU473	0	1	0	0	1	0
OTU474	1	1	1	1	1	1
OTU475	1	0	0	0	0	1
OTU476	0	1	0	0	1	0
OTU477	0	0	0	0	1	1
OTU478	1	1	1	1	1	1
OTU479	1	1	1	1	1	1
OTU480	0	1	0	1	1	1
OTU481	0	0	0	0	0	0
OTU482	1	1	1	1	1	1
OTU483	1	1	1	0	0	1
OTU484	1	1	1	1	1	1
OTU485	0	1	0	1	0	1
OTU486	1	1	0	0	0	1
OTU487	1	1	0	1	0	1
OTU488	1	1	1	1	1	1
OTU489	0	1	0	1	1	1
OTU490	1	1	0	0	1	1
OTU491	1	1	1	1	1	1
OTU492	0	0	0	0	1	1
OTU493	1	1	1	1	1	1
OTU494	1	1	1	1	1	1
OTU495	0	0	0	0	0	1
OTU496	1	1	0	1	1	1
OTU497	0	0	0	0	1	1
OTU498	0	0	0	1	1	1
OTU499	0	1	0	0	1	1
OTU500	0	0	0	0	1	0
OTU501	1	0	0	0	0	0
OTU502	1	1	1	1	1	1
OTU503	0	0	1	0	1	1
OTU504	1	1	1	1	1	1
OTU505	1	1	1	1	1	1
OTU506	1	1	1	1	1	1
OTU507	1	1	1	1	1	1
OTU508	1	1	1	1	1	1
OTU509	1	1	1	1	1	1
OTU510	1	1	1	0	1	0
OTU511	0	0	0	1	0	0
OTU512	1	0	0	0	0	0
OTU513	0	0	0	1	0	1
OTU514	1	1	1	1	1	1
OTU515	1	1	1	1	1	1
OTU516	0	0	0	0	0	0
OTU517	1	1	0	0	0	0
OTU518	0	0	0	0	0	1
OTU519	1	1	1	1	0	1
OTU520	0	1	1	0	1	1
OTU521	1	1	1	1	1	1
OTU522	1	1	1	0	1	0
OTU523	1	0	0	0	0	0
OTU524	1	1	0	1	0	1
OTU525	1	1	1	1	1	1
OTU526	0	0	0	0	0	1
OTU527	1	1	0	0	0	1
OTU528	1	1	1	1	1	1
OTU529	0	1	0	0	1	0
OTU530	1	1	0	1	1	1
OTU531	0	0	1	0	0	0
OTU532	1	1	1	1	1	1
OTU533	1	1	1	1	0	1
OTU534	0	0	0	1	1	1
OTU535	1	1	0	0	0	0
OTU536	1	0	1	1	1	1
OTU537	1	1	1	1	1	1
OTU538	0	0	0	0	0	1
OTU539	0	0	0	0	0	1
OTU540	0	0	0	1	0	0
OTU541	0	0	0	0	1	0
OTU542	0	0	0	0	1	0
OTU543	0	1	0	0	1	1
OTU544	0	0	0	0	1	0
OTU545	1	1	0	1	0	1
OTU546	1	0	0	1	0	0
OTU547	0	1	0	0	1	0
OTU548	0	0	0	0	0	1
OTU549	0	0	0	0	1	1
OTU550	1	1	0	0	1	1
OTU551	0	1	0	1	0	1
OTU552	0	0	1	0	1	1
OTU553	0	0	1	0	1	0
OTU554	0	0	1	0	0	1
OTU555	1	1	1	1	1	1
OTU556	0	0	1	0	1	0
OTU557	1	1	1	1	1	1
OTU558	1	1	1	1	1	1
OTU559	1	1	0	0	0	1
OTU560	0	1	1	0	1	1
OTU561	0	1	0	0	0	1
OTU562	0	0	0	0	1	1
OTU563	0	1	0	1	1	1
OTU564	0	0	0	0	0	1
OTU565	0	0	0	1	1	0
OTU566	0	0	0	1	0	0
OTU567	0	0	0	0	1	1
OTU568	1	1	0	0	1	0
OTU569	0	0	0	0	1	0
OTU570	0	0	0	1	0	0
OTU571	0	1	0	0	1	1
OTU572	0	1	0	0	1	0
OTU573	0	0	0	0	0	1
OTU574	1	0	0	0	0	0
OTU575	1	1	0	1	1	1
OTU576	1	1	0	0	0	1
OTU577	0	0	0	0	1	0
OTU578	0	0	0	1	0	1
OTU579	0	0	0	0	0	1
OTU580	0	1	1	0	1	0
OTU581	1	1	0	0	1	1
OTU582	0	0	0	1	0	1
OTU583	0	0	0	1	1	1
OTU584	0	0	0	0	0	0
OTU585	1	0	0	0	0	1
OTU586	1	0	1	1	1	1
OTU587	0	1	1	0	0	1
OTU588	0	1	1	0	0	0
OTU589	1	0	1	1	0	1
OTU590	1	1	1	1	1	0
OTU591	1	1	1	1	1	1
OTU592	1	1	1	1	1	1
OTU593	1	1	1	1	1	0
OTU594	1	1	1	0	1	0
OTU595	1	1	0	0	0	0
OTU596	0	0	0	0	1	0
OTU597	1	1	1	1	1	1
OTU598	0	1	0	0	1	0
OTU599	0	0	0	0	0	1
OTU600	0	1	1	1	1	1
OTU601	1	1	1	1	1	1
OTU602	0	0	0	0	0	0
OTU603	1	1	1	1	1	1
