#OTUID	CK12	DA21	CK31	DA23	DA13	DA12	A11	AD32	A21	CK21	AD22	CK22	AD21	AD12	DA22	A23	CK23	AD33	AD31	DA11	CK33	AD23	A22	AD11	AD13	CK13	A13	A12	CK11	CK32
NCBI1690484	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NCBI1690485	5	0	0	0	5	8	2	0	0	1	0	0	1	5	0	0	4	0	0	2	0	1	0	1	2	7	1	1	5	2
NCBI169049	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	10	1	0	2	0	0	0
NCBI1690815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
NCBI169176	0	577	0	0	0	531	0	0	17	0	0	93	0	181	184	0	618	0	0	0	0	0	0	0	515	311	0	0	0	0
NCBI1692007	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI169292	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1694	0	5	0	0	0	0	0	0	0	0	0	59	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI169427	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI169430	0	0	3	0	0	0	0	4	0	0	0	6	0	0	0	0	9	0	0	0	4	0	0	7	0	0	0	0	0	0
NCBI169480	0	39	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	15	17	0	15	0	0	0	0	0	94	0	0	0
NCBI1695218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
NCBI169679	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NCBI1697053	8	0	0	0	3	0	0	0	3	0	0	4	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0
NCBI169760	0	0	7	0	0	0	24	10	0	0	0	0	2	0	0	0	0	10	9	0	4	0	0	0	0	0	25	19	0	8
NCBI1699621	0	0	0	7	18	54	12	0	0	0	26	0	0	0	11	0	0	0	0	2	3	0	3	0	10	2	7	0	3	3
NCBI1699622	0	0	0	0	0	17	12	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1699623	41	36	17	30	61	866	434	14	30	8	75	10	109	88	13	17	3	7	5	29	2	161	20	271	677	65	168	84	17	0
NCBI1699624	0	0	0	0	0	17	12	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0	0	103	0	35	0	0	0
NCBI1701359	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	8	0	0	0	9	0	0
NCBI1701369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1701370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1701371	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NCBI1701758	5	1	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
NCBI1701911	215	196	28	128	255	203	120	19	22	123	21	164	28	175	164	74	180	28	16	208	20	12	45	175	119	234	199	121	166	27
NCBI1702043	0	0	0	0	0	0	0	0	0	0	32	0	24	0	42	35	0	0	27	0	0	22	47	0	0	0	0	205	0	0
NCBI1702238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1702325	132	89	8	68	151	13	64	22	11	72	9	44	14	60	127	14	60	86	79	106	21	6	11	135	59	20	200	95	90	45
NCBI1703	0	0	4	0	0	27	38	0	9	0	4	0	3	64	0	4	19	0	0	217	0	0	7	0	0	0	0	0	0	0
NCBI1703338	134	213	177	345	105	172	180	551	384	1011	96	322	144	208	680	234	644	252	645	124	319	17	2410	81	106	128	191	152	217	242
